conc		.0000000007	.0000000037	.0000000183	.0000000915	.0000004572	.000002286	.0000114293	
ID010596-01	FC1=CC=C(CN2C(=O)C(=NC3=C2N=CN=C3)C4=CC(F)=CC=C4)C=C1	-1.803	.101	1.467	1.409	.4558	1.992	-2.089	
conc		.0000000007	.0000000037	.0000000183	.0000000915	.0000004572	.000002286	.0000114293	
ID010601-01	CN1CCN(CC1)C2=NC3=C(C=N2)N=C(C(=O)N3CCC#N)C4=CC(=CC=C4)C#N	-.1585	-.6159	.4102	-.3767	-.2764	1.583	-1.204	
conc		.0000000007	.0000000037	.0000000183	.0000000915	.0000004572	.000002286	.0000114293	
ID010606-01	CC1=NC=C(CNC2=C3C=CC=CC3=NC(=N2)C4=CC=CC(NS(C)(=O)=O)=C4)N=C1	1.94	.1548	1.325	.08198	.678	2.51	-1.827	
conc		.0000000007	.0000000037	.0000000183	.0000000915	.0000004572	.000002286	.0000114293	
ID010616-01	CC(C)CN1CC[C@]2(C1)CCCN(C2)C(=O)C3=C(C)ON=C3C	-2.884	-.4	.3488	-.1502	.4521	.8936	1.76	
conc		.0000000007	.0000000037	.0000000183	.0000000915	.0000004572	.000002286	.0000114293	
ID010626-01	ClC1=CC=C(C=C1)C2=NC3=C(N=CN=C3)N(CC4=C(Cl)C=CC=C4)C2=O	-3.003	-.9362	-.8287	.1163	.2409	.4085	.7844	
conc		.0000000007	.0000000037	.0000000183	.0000000915	.0000004572	.000002286	.0000114293	
ID010658-01	COC(=O)N1CCC2(CC1)CCN(CC2)C3=CC(=CC=C3)C4=CC=CC=C4	1.425	-1.077	-.7047	-1.334	.2298	-1.3	-2.746	
conc		.0000000007	.0000000037	.0000000183	.0000000915	.0000004572	.000002286	.0000114293	
ID010668-01	COC1=CC=CC(CN2C(=O)C(=NC3=C2N=C(N=C3)N4CCN(C)CC4)C5=CC=CC=C5)=C1	-2.157	.203	.4819	-1.114	-.8875	1.658	-1.568	
conc		.0000000007	.0000000037	.0000000183	.0000000915	.0000004572	.000002286	.0000114293	
ID010683-01	O=C(N1CCC2(CCN(CC3=CC=CC=C3)CC2)CC1)C4=CSN=N4	-.4263	.2048	-.06141	-1.123	1.864	-2.365	.8103	
conc		.0000000007	.0000000037	.0000000183	.0000000915	.0000004572	.000002286	.0000114293	
ID010685-01	COCCN1C(=O)C(C)=NC2=C1N=C(N=C2)N3CCN(C)CC3	-.6432	-1.381	-1.318	-1.627	-1.462	.4476	-.4222	
conc		.0000000007	.0000000037	.0000000183	.0000000915	.0000004572	.000002286	.0000114293	
ID010698-01	COC(=O)N1CCC2(CN(C2)C(=O)NC3=CC=CC(F)=C3)CC1	3.924	-2.983	-1.456	-1.193	-2.146	-.7215	-2.455	
conc		.0000000007	.0000000037	.0000000183	.0000000915	.0000004572	.000002286	.0000114293	
ID010706-01	CN1CCN(CC1)C2=NC3=C(C=N2)N=C(C4=CC=CS4)C(=O)N3CCC5=CC=CC=C5	-.663	-1.257	-.2838	-1.516	.8127	1.535	-.007172	
conc		.0000000007	.0000000037	.0000000183	.0000000915	.0000004572	.000002286	.0000114293	
ID010722-01	COC1=CC=C(C=C1)C(=O)N2CCC3(CCCN(C3)C(=O)NC(C)C)CC2	-1.432	-1.799	-1.608	-1.773	-.9439	-1.87	-2.647	
conc		.0000000007	.0000000037	.0000000183	.0000000915	.0000004572	.000002286	.0000114293	
ID010726-01	COC1=CC=C(C=C1)C(=O)N2CCC3(CC2)CCN(CC3)C4=CC=NC=C4	-3.485	-.009081	-1.159	.08904	-2.378	-.1172	1.029	
conc		.0000000007	.0000000037	.0000000183	.0000000915	.0000004572	.000002286	.0000114293	
