92764784	C1CN(CCN1CCOCCO)C2=C(C3=C(C(=O)C=CC3=O)C(=C2Br)O)O.Cl	100.0	100.0	95.59	100.0	67.01	14.09	4.28	6.98	3.38	0.0
conc 		0.0001	5e-05	2.5e-05	1.25e-05	6.25e-06	3.13e-06	1.56e-06	7.8e-07	3.9e-07	1.9e-07
92764783	C1CN(CCN1CCO)C2=C(C3=C(C(=O)C=CC3=O)C(=C2Cl)O)O.Cl	71.9	94.32	90.63	87.93	78.75	17.61	4.99	6.28	0.68	5.49
conc 		0.0001	5e-05	2.5e-05	1.25e-05	6.25e-06	3.13e-06	1.56e-06	7.8e-07	3.9e-07	1.9e-07
92764529	C1=CC=C2C(=C1)C(=CC(=C2O)S(=O)(=O)C3=CC=C(C=C3)N)O	98.73	100.0	79.74	76.71	73.57	9.86	2.14	9.07	6.76	8.91
conc 		5e-05	2.5e-05	1.25e-05	6.25e-06	3.13e-06	1.56e-06	7.8e-07	3.9e-07	1.9e-07
92764524	C[C@@]12CC[C@]3(CCC(C[C@H]3[C@H]1C(=O)C=C4[C@]2(CC[C@@H]5[C@@]4(C=C(C(=O)C5(C)C)C#N)C)C)(C)C)C(=O)N6C=CN=C6	56.32	37.45	29.52	13.13	2.11	4.99	0.0	2.03	0.0
conc 		0.0001	5e-05	2.5e-05	1.25e-05	6.25e-06	3.13e-06	1.56e-06	7.8e-07	3.9e-07	1.9e-07
92764519	CCOC(=O)C1=C(N(C2=C1C3=CC=CC=C3C(=O)C2=O)C4=CC=C(C=C4)OC)C	69.81	59.51	29.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0
conc 		0.0001	5e-05	2.5e-05	1.25e-05	6.25e-06	3.13e-06	1.56e-06	7.8e-07	3.9e-07	1.9e-07
92764458	C1=CC=C2C(=C1)C3=CC=CC=C3C(=O)C2=C(I)I	34.65	53.06	55.01	66.62	62.24	18.32	18.53	12.56	0.0	6.17
conc 		0.0001	5e-05	2.5e-05	1.25e-05	6.25e-06	3.13e-06	1.56e-06	7.8e-07	3.9e-07	1.9e-07
92764341	CN(C)C1=CC=C(C=C1)CC2=CC3=C(C=CC(=C3C=C(C2=O)CC4=CC=C(C=C4)N(C)C)O)O	52.17	47.7	64.71	32.96	10.36	0.0	3.56	4.19	0.0	4.8
conc 		0.0001	5e-05	2.5e-05	1.25e-05	6.25e-06	3.13e-06	1.56e-06	7.8e-07	3.9e-07	1.9e-07
92764318	C1CC(=NO)C(=O)C2=CC=CC=C21	56.01	26.46	14.75	5.61	0.69	4.23	0.0	0.0	0.0	5.49
conc 		0.0001	5e-05	2.5e-05	1.25e-05	6.25e-06	3.13e-06	1.56e-06	7.8e-07	3.9e-07	1.9e-07
92764314	C1=CC=C(C(=C1)C=C2C(=O)NC(=O)NC2=O)[N+](=O)[O-]	70.79	80.27	50.94	20.34	5.53	2.82	2.14	0.0	3.38	2.06
